0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0.648,0.428,-0.572,0.734,0.124,0.428,0.636,0.692,0.428,0.818,0.4,,0.5,,-0.454,0.454,,0.25,0.624,0.286,0.058,0.648,0.166,,0.53,0.334,0.8,-0.454,0.466,0.636,0.376,0.23,0.5,-0.09,0.412,,0,0.058,0.286,0.692,,0.648,,0,0.666,,-0.636,0.572,0.6,0,0.058,0.166,0,0.166,0.538,-0.142,-0.124,-0.23,,-0.066,0.272,0.166,0.076,0.23,,
,,0.428,0.23,0.454,0.176,0.2,-0.166,0.454,,,,,0.428,,0.142,0,0.818,,,,0.166,-0.142,0.666,-0.334,,0.142,0,,-0.142,,0.6,-0.2,,-0.142,0.286,,-0.09,,0.076,,0,0.3,,-0.572,0.4,,-0.166,-0.428,,-0.272,,0.23,0.692,-0.384,,,0.4,-0.23,-0.272,-0.23,-0.066,-0.2,-0.2,-0.286,
0.2,0.142,0.538,0.334,-0.066,,0.454,0,-0.166,0.166,0.076,0.572,,0.166,,0.09,-0.23,0.636,-0.09,0.384,0.166,0,,,0.166,,0.428,0.454,0.272,0.272,,-0.376,,0.272,,0.09,0.636,0.076,-0.384,,0,-0.384,,0.286,0,,0.692,0.5,,0.166,,,0.692,,-0.2,-0.09,-0.334,0.272,0.2,,-0.112,,0,-0.334,,-0.142
0.6,0.454,0.53,0,0.142,0.444,0.624,0.572,0.624,0.384,0.23,-0.272,-0.272,0.272,0.25,0.572,0.2,0.09,0,0.23,0.75,-0.112,0.5,0.636,0.428,-0.286,-0.2,0.25,0.454,0.25,0.2,0.25,0.2,0.53,0.384,0.4,0,0.166,-0.272,0.066,-0.23,0.334,0.666,0.142,0.2,0.2,0.142,0.142,0.076,0.286,-0.2,0.376,-0.222,0.23,-0.334,-0.376,0.428,0.454,0.286,0.066,0.166,0.538,0.176,-0.4,-0.466,0.066
0,-0.166,0.858,0.23,-0.166,0.538,0.272,,0.2,0.2,0.818,0.5,,0.4,0.5,0.2,0.5,0.412,-0.25,0.294,-0.09,0.454,,-0.142,,0.286,0.25,-0.5,0.2,-0.334,-0.272,0.066,0.834,,-0.066,0,0.166,0.09,-0.222,0.412,0.8,0.124,0.384,0.5,,0.112,0.454,0.286,-0.272,0.058,0,0.142,0.272,0.076,-0.538,0.294,-0.25,,-0.272,,0.466,-0.142,0.2,,,0.076
0.334,0.714,0.066,0,0.538,0.384,0.538,-0.142,0.112,0.23,-0.076,0.75,0.334,0.334,0.076,0.09,0.666,0.142,,0.428,0.428,-0.286,0.412,1,0.714,0.142,0,0.142,-0.066,0.5,0,-0.334,0.2,-0.142,0.25,0.4,0.876,0.858,0.538,0,0.412,0.692,,-0.2,-0.158,-0.25,0,-0.858,-0.066,0,0.076,0.124,0.538,,-0.166,-0.692,0,0,-0.142,0.286,0.714,0.066,-0.6,0.334,0.412,-0.376
0.264,-0.286,0.23,0,0.286,0.384,0.09,0.334,0.334,,0.334,,,,0.142,0.2,,-0.066,0.384,0,-0.066,-0.23,,0.23,,0.112,-0.066,0.09,0.692,0.2,0,0.272,0.076,,0.142,,0.076,-0.09,,0,-0.2,0.4,,-0.2,0.142,-0.2,-0.124,,-0.2,-0.142,0.294,0.2,0.142,0.5,0.166,0.4,0.124,0.23,,-0.076,,-0.142,-0.166,0.076,,
0,0.23,0.454,0.2,0.384,-0.076,0.286,0.286,0.5,0.538,,,-0.2,0.572,0.2,0.538,0.428,0.334,0.2,,0.166,-0.272,-0.272,0.124,-0.2,0.286,,0.538,0,-0.09,0.334,0.538,0.5,,0.23,,,-0.124,0.286,0.666,0.23,-0.334,-0.076,0.286,-0.23,-0.076,0.25,0.23,0.714,,0.166,,,,0.454,0,-0.8,,0.334,-0.076,,-0.09,0.176,0.454,,0.09
1,0,0.176,0.142,0.666,0.428,0,,-0.066,0.384,-0.076,0,,0.142,0.142,0.412,0.076,0.6,0.6,0.466,0,0.428,0.23,0.5,0.286,0.166,0.272,0.25,0.818,0.272,-0.272,0.142,,-0.23,0.076,0.384,0.25,0.454,0.294,-0.334,0.636,0.2,-0.09,0,0,0,0.25,0.636,-0.454,0.428,,0.648,-0.142,-0.166,0,0.648,0.09,0,-0.066,-0.428,0.334,-0.142,-0.166,-0.25,0.166,
,0.176,-0.4,,,,0.334,0.454,,0.334,0.6,0.09,0.764,0.272,0.636,0.624,0.4,0.666,0.412,0.454,0.428,0.286,0.2,0.8,0.2,,,-0.076,0,-0.23,0.334,0.066,0.5,0.158,,0.334,0.4,0.076,,,-0.2,,,0.272,0.376,,,0.076,,0.428,0.142,0.538,-0.428,-0.176,0.5,-0.376,0.556,0.058,0.076,-0.066,,0.334,0.2,0.166,,0
0.066,0.334,0.166,-0.076,0.428,0.272,0.124,0.09,0.858,,0,0.666,,0.4,0.454,0.666,-0.2,0.076,-0.066,0.6,0.876,0,,0.076,-0.058,0.556,0.124,,0.384,0.454,0.6,,-0.4,0.714,0.142,0.5,0.4,0.334,0.066,0.428,-0.166,,-0.23,,0,0,0.454,0.428,0,0.272,0.572,-0.25,0.428,0.858,0.2,0.09,0.648,0.412,0.076,0.334,0,0.2,0,-0.066,-0.058,-0.142
0.2,,0.444,0.466,0.466,0.334,-0.272,0.124,0.142,,,,0.23,0.2,0.4,0,-0.142,0,-0.2,,0.834,0.09,0.818,-0.052,0.334,0.25,0.454,0.384,0.5,0.112,0.294,0.25,0.454,0.286,,-0.4,0,0,0.066,0.272,0.09,-0.334,0.428,0.222,,,-0.25,0.222,0.4,-0.2,-1,0.334,-0.09,0,,0.858,-0.076,0.5,-0.076,0.572,,-0.176,0.286,0,,0.23
0.286,0,-0.112,0.714,0.23,,-0.09,0.636,0.384,0.538,0.142,-0.142,0.2,0,0.142,0.23,0.272,0.222,0.666,-0.334,0.124,0.23,,,0,0.176,0.334,0.6,0.5,-0.176,-0.272,-0.066,,-0.5,0.2,0,0.384,,0.066,-0.286,-0.2,-0.272,0.2,0.23,0,0.376,-0.23,0.25,0.334,0,-0.066,0.166,-0.076,0.09,0.6,,0.4,-0.142,0,-0.176,-0.5,0.09,0.25,0.538,-0.818,0.142
0.692,,1,0.2,0.272,0.384,0.124,0.692,0.166,0.334,-0.272,0.818,0.6,0.334,0.538,-0.076,0.454,,0.2,0.572,0.334,0.294,,-0.272,0.23,0.286,0.124,0.692,0.6,0.294,0.272,0.5,,0,0.272,-0.066,0.142,0.6,0.538,0.4,0.6,0.076,-0.466,0.428,-0.286,0.5,0.142,0.334,0.4,0.066,0.076,0.334,0.158,-0.428,-0.286,-0.176,0.124,0.058,0.09,-0.384,0.166,0.538,-0.142,-0.6,-0.23,0.23
0.894,0.428,1,0.272,,-0.334,0.142,,,0.2,,,0.412,0.166,,-0.124,0.286,-0.076,0.272,,,1,,-0.376,0.454,0.5,0.376,0.384,0.142,0.23,,,,0.734,0.142,0.714,0.428,-0.25,0,0.166,0.286,-0.124,,,,-0.058,-0.376,,0.222,,0.4,-0.572,,,0.142,-0.142,,0.23,-0.076,-0.23,0.286,-0.428,0.2,0.25,-0.066,
0.454,,-0.142,0.286,,,0.384,,0.79,0.572,0.334,0.53,0.2,0.572,,-0.09,0.846,0.5,0.384,,0,0.334,0.142,0,0.334,0.5,0.466,0.5,-0.2,,0.572,0.334,,-0.076,0.538,-0.272,,-0.176,0.286,0.384,,-0.076,0.692,,-0.5,-0.076,0.454,0.076,0.376,0.5,-0.09,0.334,0.076,-0.124,,0.25,0.076,,,,0.272,0.334,0.124,-0.2,0.166,
,0.636,-0.166,-0.076,0.5,,,0.272,,0.5,,,0.466,-0.09,0,,,,0.818,,0.286,,,,,0.09,,0.4,-0.272,,,0,,0.384,,0.142,,0.2,0,,0.8,-0.166,0.384,-0.142,,0.272,0.6,,,,0.09,-0.166,,,0,0,,-0.636,0.272,,0.572,,,0,0,
,,,0.376,,0.334,0.142,0.23,0.334,-0.09,0.8,,,0.834,0.2,,0.142,-0.23,0.058,0.124,0.124,0.846,,,,0.454,0.412,-0.058,0,0.454,,,-0.09,,0.572,-0.23,,,,0.6,,,,0.166,0,-0.076,,0.23,0.5,0.454,,,-0.384,0.334,0.764,,,,,0.124,0.5,,,,0.066,0.166
0.6,0.4,0,,0.23,0.066,0.666,0.166,,-0.376,-0.076,-0.2,0.272,,0.09,0.2,-0.376,,,0,0.23,,0.454,,0.466,,-0.166,0.286,,0.334,0.334,0.6,-0.2,0,0.538,0.5,,0.222,,0.112,0,0.474,0.2,0,0.6,0.066,,0.142,0.2,-0.166,0.25,-0.4,,0.066,,,,0.066,,-0.6,0.272,,0.124,0.428,0.466,0
-0.272,,0.692,0.124,0.454,,,,,,,0.334,,,0,0.5,,,0,,0.076,0.334,0.09,0.4,,,-0.4,,-0.454,,,-0.09,,-0.09,,,0,,0.428,-0.286,-0.076,0.334,,,0.272,0.166,,-0.142,0,,0.23,,0,0.2,,,,-0.4,-0.076,,-0.572,-0.454,0.09,,,
0.076,-0.09,0.666,0.8,0.4,,0.066,0.53,0.2,0,0.166,0,0.286,0.142,0.2,-0.376,0.142,0,-0.286,0.454,0.334,0.2,0.166,-0.376,,0.4,0,0.466,0.076,0.692,0.384,0.09,-0.066,0.428,0.2,0.4,-0.428,0.076,0.466,-0.334,0,0.818,-0.454,-0.2,0.286,0.6,-0.09,0.272,0.714,-0.334,0.23,0,,0,0.23,,-0.286,0.166,,0,-0.334,0.066,-0.5,0.572,0.076,-0.09
1,0.272,0.778,,,1,0.334,0.538,0.454,0.428,,,0.666,0.428,-0.166,0.4,0.23,,0.23,0.272,,0.076,,,0.624,0.076,0.272,-0.09,0.4,0.454,0.076,,0.5,0.5,-0.272,0,,-0.2,,0.166,0.058,,0.4,,,,0.454,,-0.09,0.2,,0.538,0,0.2,0.4,,,0,0.636,0.09,,-0.2,,-0.142,-0.272,-0.2
0.714,,0.8,0.428,0,0.5,0.454,0.454,,0.058,0.272,,0.272,0.166,-0.142,0.09,0.4,0.428,,,0.112,0.888,0.334,0.272,0.09,-0.2,-0.2,0.23,0.53,,0.334,,0.8,0.09,,0.384,0.272,,0.572,-0.066,,0.2,,0.166,0.286,0.466,0.066,-0.428,-0.09,-0.076,0.538,-0.166,0.23,-0.142,-0.636,0.058,,0.334,,,0.066,-0.636,0.09,0.2,,-0.538
0.454,0.538,0.272,,0.428,,0.428,,,,,0.334,,0.066,0.294,0.076,,,0.376,-0.2,-0.294,0.334,,,,0,0.272,0.334,,0.23,,0.5,0.066,0.066,0.4,,0.142,0.066,0,0.09,-0.272,0,0.124,0.286,-0.384,,0.2,0.124,,,0.2,-0.474,,,,0.076,-0.6,-0.09,0,0.376,0.272,,,,0.334,-0.166
0.23,-0.2,0.334,,0.624,0,-0.066,0.636,,0.4,0.384,0.334,-0.384,0.142,,0.124,-0.23,-0.076,0.5,,-0.066,-0.076,0.272,,-0.428,-0.23,0.066,0.166,0.2,,0.166,,0.384,0.286,0.076,-0.23,0.166,0.376,,0.572,0.25,0.876,,,0.538,0.846,0,,,0.23,-0.076,-0.066,,0,0.334,-0.2,0,,0.076,0,-0.286,0.4,0.4,0.142,0.384,0.272
0.09,0.23,0.23,,-0.166,0.09,0.384,-0.09,,,,0,-0.09,-0.2,,0.538,0.666,0.066,,0.2,,0,0.4,-0.428,0.4,-0.09,0,,,-0.666,0.2,0.09,-0.23,0,-0.692,,-0.09,0.466,0.538,,0.142,-0.4,,,0.076,,-0.09,-0.2,0.23,0.09,-0.4,,0.428,,0.23,,0.23,-0.334,,,-0.23,,,,-0.6,0.09
0.286,,0.466,0.09,0.4,0.166,0.454,0.166,-0.142,0.818,,,,0.734,0.538,0.5,0.158,0.692,,0.142,,0.124,0.066,0.142,-0.176,0.5,0.142,0.166,,0.066,0.384,0.818,0.286,0.692,0.124,,,0.066,,0.112,,0.142,-0.23,0.5,0.666,0.334,0.166,0.112,-0.23,-0.23,,0,-0.334,-0.2,,,0,,-0.09,0.692,0.124,0.466,,0.142,0.142,0
,0.286,0.334,,,,,,-0.142,,0.466,0.334,,0.23,0.2,-0.166,0,,0.666,,,,,0.2,0.5,0,0.166,0.272,-0.4,,,,-0.166,,0.5,0.4,0.454,0.6,,-0.058,0.176,-0.334,0.066,0.444,0.4,,0.734,,,0.466,0.25,,0.23,,,,,,0.076,0.09,-0.124,-0.286,,0.4,0.428,
0.6,,0.2,0.272,,0.23,,0.076,-0.09,,,0,0.428,,0.2,0.23,,-0.166,0,,0.066,-0.272,0.058,-0.23,-0.2,-0.334,,,-0.376,0.23,-0.6,0.166,-0.334,,,0.166,0,0.2,0.5,0.066,0.25,-0.124,,0.066,0.142,-0.2,,,-0.2,,0,0.556,0.466,,-0.572,0.272,-0.6,0.4,-0.334,,-0.2,0.076,0.124,0.25,0.384,0.23
-0.2,0.624,0.4,0.666,-0.142,0,0,,0.6,0.066,0.124,0.142,0.124,0.076,0.166,0.376,0.334,-0.166,0.6,0.666,,,0,-0.166,0.23,0.412,,0.222,0.334,0.5,0.334,0.538,0.09,,,,-0.272,,0.09,0.6,0.124,-0.23,0.142,,0.866,0.428,0,0.2,,0.222,0.572,-0.25,-0.158,0.272,0,-0.2,0,-0.142,-0.334,,,,0,0,0,
,,-0.058,0.112,0.5,0,0,-0.058,,0.112,0.53,0,,0.066,0.334,0.466,,,-0.142,-0.2,,,0.066,0.2,0,0.5,0.466,,-0.272,0.142,0.572,0.066,0.272,0.166,0,0.076,0.2,0.4,0.286,-0.176,0,0.636,0.538,0,-0.09,-0.142,0,,0.076,-0.09,0.384,-0.23,-0.23,0,0.286,0.466,0.454,0.142,,0.124,-0.176,,0.076,-0.334,0.142,
,1,0.538,,0.23,0.2,0.25,0.142,0.376,0.286,0.4,0.334,,,,0,,0.058,0.176,,0.142,0.4,,,0.09,,,,0.09,0,-0.412,,0.334,0.6,0,0.454,,,-0.334,0.428,,0.286,0.058,-0.142,,,-0.25,-0.572,0.2,-0.142,0.428,,0.286,,,0.834,0.428,0.23,0.466,0.636,,,-0.09,0.076,,0.23
,0.556,-0.23,-0.076,-0.09,0.818,,,,-0.142,0.2,0.09,,-0.334,0.334,0,,0.076,,,0.466,0.334,,0.6,,0.384,,0.2,,0.2,,-0.076,,-0.076,,,-0.142,,-0.25,,0.334,0.5,,,0.294,,0.2,0.286,0.09,,,0.376,0.112,,,,,,0.142,0,0.076,,-0.076,-0.384,0,
,0.538,,0.858,,0.4,0.666,,0.25,0.2,0.5,0.23,,0.166,,0.2,-0.166,0.334,,0.23,0.066,-0.09,,0.5,0.466,0.818,,-0.076,,0.636,,0.334,,0.5,,0,,,0.166,-0.076,0.428,,0.334,0.428,,-0.166,,0.076,0.538,0.076,0.412,,0.454,,0.428,0.286,1,,0.142,,,-0.166,,,-0.166,0
0.818,0.834,0.882,,0,-0.2,0.6,0,,,,0.666,,0.09,0.636,,0.384,,0.636,0.666,0.334,0.636,0.23,0.334,0.09,-0.066,0.75,,,-0.166,0.666,0.166,0.09,,0.142,,0.272,,-0.4,0.6,,0.334,-0.466,0,0.376,0.176,0.272,0.23,,0.4,0.066,0.6,0.454,,0.09,-0.23,0.454,0,0.272,0.428,0.222,0.5,,-0.09,-0.124,0.076
0.076,,0.666,0.428,0.286,0.818,,,,,,0.5,,,,,0.636,,-0.286,,,,,,0.6,0.6,,-0.2,,,,,-0.112,-0.166,,-0.166,,,,-0.09,,0.538,0.6,,0.466,-0.124,,,0.142,0.112,0.2,-0.076,0.142,0.2,0.286,,,,,0,0.142,,,,,
0.5,0.142,,0.5,,0.466,,0.334,,,-0.09,,,0.334,0.376,0,0.142,0.572,0.166,-0.09,,,,0.23,,-0.142,,0.5,,,,-0.454,0.334,0.23,0.2,0.454,,,0.25,0.076,0,0,0.334,0.23,-0.334,-0.142,0.334,0.428,,,0.142,0.166,0.624,-0.454,,,,-0.142,0.066,,,-0.2,0.2,0.666,0.286,
,0.818,0.066,0.058,0.818,-0.142,0.09,,-0.176,0,0.25,0.076,0.09,,0.334,,0.466,0.052,0,-0.384,,-0.058,,0.412,,0.09,0.2,,0.636,0.2,,0.058,0.466,0,0.384,,0.2,,0.454,-0.2,,,-0.076,0.066,,0.286,,0.286,-0.076,,0.058,,-0.444,0.2,0.384,-0.158,,,0.23,0.112,-0.538,0,0,-0.412,0.25,-0.2
0.5,,0,0.5,,,,,,,,,,,,0.538,,,,,,,,0.572,,,,-0.142,,,0.176,,,,,0.2,,,,,,,,,,,,,,,-0.23,,-0.176,,-0.2,0.334,,,,,,0.834,0.666,,0.5,0.538
